serial
-5
13
0
0
-13
3
12
2
4
1
0
4
2
3
8
4
3
0
5
5
11
5
0
2
13
-1
-10
-3
7
5
7
9
6
10
4
4
4
1
11
21
3
4
2
5
13
1
3
4
10
2
4
2
-3
0
2
0
-4
-2
9
4
13
8
4
4
2
1
1
4
-1
0
7
4
-1
4
6
15
0
-4
-3
6
2
2
7
0
1
2
7
2
2
0
18
2
8
3
2
-1
3
5
-3
4
1
4
4
4
2
7
6
1
6
-2
3
16
2
1
6
2
6
-5
6
0
-4
0
14
7
8
8
7
8
4
8
2
5
15
4
11
13
16
5
-1
8
2
1
6
8
17
0
0
5
2
2
7
2
4
-2
11
10
9
2
6
21
2
14
8
10
7
16
13
1
4
7
9
0
0
5
4
14
-2
7
0
2
16
11
0
17
12
0
1
6
15
19
1
0
15
4
0
5
2
-7
